deviceid,floatvalue,timestamp
CakebreadId_0128,29,01/29/2020 04:39,
CakebreadId_0128,39,01/29/2020 04:39,
CakebreadId_0128,40,01/29/2020 04:39,
CakebreadId_0128,37,01/29/2020 04:40,
CakebreadId_0128,29,01/29/2020 04:40,
CakebreadId_0128,39,01/29/2020 04:40,
CakebreadId_0128,40,01/29/2020 04:40,
CakebreadId_0128,31,01/29/2020 04:41,
CakebreadId_0128,41,01/29/2020 04:41,
CakebreadId_0128,42,01/29/2020 04:42,
CakebreadId_0128,33,01/29/2020 04:42,
CakebreadId_0128,42,01/29/2020 04:42,
CakebreadId_0128,41,01/29/2020 04:42,
CakebreadId_0128,42,01/29/2020 04:43,
CakebreadId_0128,41,01/29/2020 04:43,
CakebreadId_0128,42,01/29/2020 04:43,
CakebreadId_0128,34,01/29/2020 04:43,
CakebreadId_0128,36,01/29/2020 04:43,
CakebreadId_0128,41,01/29/2020 04:43,
CakebreadId_0128,40,01/29/2020 04:51,
CakebreadId_0128,35,01/29/2020 04:51,
CakebreadId_0128,27,01/29/2020 04:52,
CakebreadId_0128,41,01/29/2020 04:52,
CakebreadId_0128,42,01/29/2020 04:53,
CakebreadId_0128,41,01/29/2020 04:53,
CakebreadId_0128,42,01/29/2020 04:53,
CakebreadId_0128,39,01/29/2020 04:54,
CakebreadId_0128,32,01/29/2020 04:54,
CakebreadId_0128,42,01/29/2020 04:54,
CakebreadId_0128,41,01/29/2020 04:55,
CakebreadId_0128,42,01/29/2020 04:56,
CakebreadId_0128,32,01/29/2020 04:56,
CakebreadId_0128,41,01/29/2020 04:56,
CakebreadId_0128,42,01/29/2020 04:57,
CakebreadId_0128,41,01/29/2020 04:57,
CakebreadId_0128,39,01/29/2020 04:58,
CakebreadId_0128,37,01/29/2020 04:58,
CakebreadId_0128,29,01/29/2020 04:59,
CakebreadId_0128,41,01/29/2020 04:59,
CakebreadId_0128,42,01/29/2020 04:59,
CakebreadId_0128,41,01/29/2020 04:59,
CakebreadId_0128,42,01/29/2020 05:00,
CakebreadId_0128,41,01/29/2020 05:00,
CakebreadId_0128,37,01/29/2020 05:20,
CakebreadId_0128,26,01/29/2020 05:20,
CakebreadId_0128,37,01/29/2020 05:20,
CakebreadId_0128,42,01/29/2020 05:20,
CakebreadId_0128,39,01/29/2020 05:22,
CakebreadId_0128,37,01/29/2020 05:22,
CakebreadId_0128,29,01/29/2020 05:22,
CakebreadId_0128,41,01/29/2020 05:22,
CakebreadId_0128,42,01/29/2020 05:23,
CakebreadId_0128,41,01/29/2020 05:23,
CakebreadId_0128,42,01/29/2020 05:23,
CakebreadId_0128,41,01/29/2020 05:23,
CakebreadId_0128,42,01/29/2020 05:24,
CakebreadId_0128,41,01/29/2020 05:24,
CakebreadId_0128,32,01/29/2020 05:24,
CakebreadId_0128,41,01/29/2020 05:24,
CakebreadId_0128,42,01/29/2020 05:25,
CakebreadId_0128,41,01/29/2020 05:25,
CakebreadId_0128,32,01/29/2020 05:26,
CakebreadId_0128,41,01/29/2020 05:26,
CakebreadId_0128,42,01/29/2020 05:26,
CakebreadId_0128,39,01/29/2020 05:28,
CakebreadId_0128,36,01/29/2020 05:28,
CakebreadId_0128,33,01/29/2020 05:28,
CakebreadId_0128,38,01/29/2020 05:28,
CakebreadId_0128,41,01/29/2020 05:29,
CakebreadId_0128,40,01/29/2020 05:33,
CakebreadId_0128,37,01/29/2020 05:34,
CakebreadId_0128,29,01/29/2020 05:34,
CakebreadId_0128,38,01/29/2020 05:34,
CakebreadId_0128,41,01/29/2020 05:34,
CakebreadId_0128,36,01/29/2020 05:35,
CakebreadId_0128,37,01/29/2020 05:35,
CakebreadId_0128,41,01/29/2020 05:35,
CakebreadId_0128,37,01/29/2020 05:36,
CakebreadId_0128,32,01/29/2020 05:37,
CakebreadId_0128,41,01/29/2020 05:37,
CakebreadId_0128,37,01/29/2020 05:38,
CakebreadId_0128,30,01/29/2020 05:38,
CakebreadId_0128,39,01/29/2020 05:38,
CakebreadId_0128,41,01/29/2020 05:38,
CakebreadId_0128,37,01/29/2020 05:39,
CakebreadId_0128,26,01/29/2020 05:39,
CakebreadId_0128,40,01/29/2020 05:40,
